id,source,region,zone,station_id,longitude,latitude,year,crab_id,sex,cw,ch,crpc_len,log_cw,log_ch
NEFSC_201902012700040396_166200_2961,NEFSC,NA,GOM_OFF,201902012700040396,-69.83533299999999,42.067,2019,166200,M,9.78,2.71,9,2.280339484046726,0.9969486348916096
NEFSC_201902011300020252_166093_2803,NEFSC,NA,GB,201902011300020252,-67.416893,40.91177,2019,166093,M,11.02,2.38,9.07,2.3997118037247684,0.8671004876833833
NEFSC_201802012900050235_118741_2340,NEFSC,NA,GOM_OFF,201802012900050235,-67.818735,42.3358,2018,118741,M,12.39,2.11,9.58,2.516889695641051,0.7466879474879751
NEFSC_201702016200020033_175792_1634,NEFSC,NA,MAB,201702016200020033,-74.847493,36.401216999999995,2017,175792,M,12.47,1.99,8.7,2.523325759691945,0.688134638736401
NEFSC_201802010600040152_118622_2292,NEFSC,NA,SNE_OFF,201802010600040152,-71.77350799999999,40.619975,2018,118622,M,13.34,2.93,10.13,2.590767040487478,1.075002423028976
NEFSC_201702012800050323_176093_1840,NEFSC,NA,GOM_OFF,201702012800050323,-69.254,42.362333,2017,176093,M,13.36,3.14,9.76,2.5922651681085,1.144222799920162
NEFSC_201702013600060332_175965_1871,NEFSC,NA,GOM_OFF,201702013600060332,-68.088167,42.9715,2017,175965,M,13.49,2.72,9.15,2.6019486702196644,1.000631880307906
NEFSC_201702013600060332_175966_1873,NEFSC,NA,GOM_OFF,201702013600060332,-68.088167,42.9715,2017,175966,M,13.58,2.97,10.28,2.60859812213055,1.0885619528146082
MassDMF_2017_6_22_Direction_S062217-01_7699,MassDMF,GB,GB,2017_6_22_Direction,-66.37140666666667,41.12169333333333,2017,S062217-01,M,14,3,NA,2.6390573296152584,1.0986122886681098
MassDMF_2017_6_25_Direction_S062217-02_7762,MassDMF,GB,GB,2017_6_25_Direction,-66.49242857142858,40.98211428571429,2017,S062217-02,M,14,3,NA,2.6390573296152584,1.0986122886681098
MassDMF_2017_6_26_Direction_S062217-03_7767,MassDMF,GB,GB,2017_6_26_Direction,-66.3509,41.14391,2017,S062217-03,M,14,3,NA,2.6390573296152584,1.0986122886681098
NEFSC_201902011300080253_166134_2806,NEFSC,NA,GB,201902011300080253,-67.403665,40.696267,2019,166134,M,14.33,4.07,15.02,2.6623552418400807,1.4036429994545037
NEFSC_201704012700050112_84191_2190,NEFSC,NA,GOM_OFF,201704012700050112,-70.25370199999999,42.962768,2017,84191,M,14.49,3.2,10.36,2.673458756332591,1.1631508098056809
NEFSC_201802016900010108_118632_2259,NEFSC,NA,MAB,201802016900010108,-74.91948,38.003008,2018,118632,M,14.75,2.14,11.79,2.691243082785829,0.7608058290337602
NEFSC_201802011300060178_118619_2312,NEFSC,NA,GB,201802011300060178,-68.023335,40.639803,2018,118619,M,14.9,3.06,11.59,2.7013612129514133,1.1184149159642893
NEFSC_201902011500020261_166098_2817,NEFSC,NA,GB,201902011500020261,-66.84679,40.687217,2019,166098,M,14.96,2.84,10.76,2.7053799725463312,1.0438040521731147
NEFSC_201602011700020293_924746_938,NEFSC,NA,GB,201602011700020293,-66.473705,41.037765,2016,924746,M,15.46,2.84,13.26,2.738256043159276,1.0438040521731147
NEFSC_201702012600030375_176099_2019,NEFSC,NA,GOM_OFF,201702012600030375,-70.335218,42.63485,2017,176099,M,15.72,3.71,11.19,2.7549337870010606,1.3110318766193438
NEFSC_201902011400020260_166091_2816,NEFSC,NA,GB,201902011400020260,-66.853995,40.77142,2019,166091,M,15.72,2.74,12.78,2.7549337870010606,1.007957920399979
NEFSC_201902012400030243_166095_2779,NEFSC,NA,GOM_OFF,201902012400030243,-69.67045499999999,41.890612,2019,166095,M,16.06,3.44,11.63,2.7763317085186157,1.235471471385307
NEFSC_201702011400040247_175771_1769,NEFSC,NA,GB,201702011400040247,-67.143,40.619333,2017,175771,M,16.18,3.51,11.37,2.7837759116303458,1.2556160374777743
NEFSC_201702012900020278_175919_1774,NEFSC,NA,GOM_OFF,201702012900020278,-66.450833,42.239332999999995,2017,175919,M,16.18,3.68,11.9,2.7837759116303458,1.3029127521808397
NEFSC_201802013400050258_118674_2390,NEFSC,NA,GOM_OFF,201802013400050258,-66.984113,43.968592,2018,118674,M,16.3,3.36,12.18,2.791165107812717,1.2119409739751128
NEFSC_201702012500010220_175758_1721,NEFSC,NA,GOM_OFF,201702012500010220,-69.469667,41.459832999999996,2017,175758,M,16.46,3.7,11.41,2.800933195248924,1.308332819650179
NEFSC_201504012500020237_223578_277,NEFSC,NA,GOM_OFF,201504012500020237,-69.39044,41.2147,2015,223578,M,16.48,3.9,12,2.8021475244813256,1.3609765531356006
NEFSC_201802010900030206_118754_2325,NEFSC,NA,SNE_IN,201802010900030206,-70.484803,40.952628,2018,118754,M,16.59,3.58,12.64,2.808800104202353,1.275362800412609
