Date,Time,Location,Home Club
08/15/2023,05:34:00,Planet Fitness Newburyport MA - Newburyport,NA
08/25/2023,06:41:00,Planet Fitness Newburyport MA - Newburyport,NA
08/28/2023,10:40:00,Planet Fitness Newburyport MA - Newburyport,NA
08/31/2023,08:04:00,Planet Fitness Newburyport MA - Newburyport,NA
09/01/2023,08:37:00,Planet Fitness Newburyport MA - Newburyport,NA
09/03/2023,09:33:00,Planet Fitness Falmouth MA - Falmouth,NA
09/05/2023,18:37:00,Planet Fitness Falmouth MA - Falmouth,NA
09/07/2023,05:01:00,Planet Fitness Falmouth MA - Falmouth,NA
09/08/2023,19:20:00,Planet Fitness Falmouth MA - Falmouth,NA
09/10/2023,09:49:00,Planet Fitness Falmouth MA - Falmouth,NA
09/11/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
09/12/2023,18:12:00,Planet Fitness Falmouth MA - Falmouth,NA
09/13/2023,17:25:00,Planet Fitness Falmouth MA - Falmouth,NA
09/15/2023,05:01:00,Planet Fitness Falmouth MA - Falmouth,NA
09/16/2023,09:58:00,Planet Fitness Falmouth MA - Falmouth,NA
09/17/2023,07:15:00,Planet Fitness Falmouth MA - Falmouth,NA
09/19/2023,17:14:00,Planet Fitness Falmouth MA - Falmouth,NA
09/19/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
09/20/2023,17:25:00,Planet Fitness Falmouth MA - Falmouth,NA
09/22/2023,17:33:00,Planet Fitness Falmouth MA - Falmouth,NA
09/23/2023,08:54:00,Planet Fitness Falmouth MA - Falmouth,NA
09/24/2023,10:22:00,Planet Fitness Falmouth MA - Falmouth,NA
09/25/2023,15:49:00,Planet Fitness Falmouth MA - Falmouth,NA
09/26/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
09/28/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
09/29/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
09/30/2023,08:11:00,Planet Fitness Falmouth MA - Falmouth,NA
10/02/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
10/03/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
10/04/2023,16:05:00,Planet Fitness Falmouth MA - Falmouth,NA
10/05/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
10/06/2023,18:06:00,Planet Fitness Falmouth MA - Falmouth,NA
10/07/2023,09:03:00,Planet Fitness Falmouth MA - Falmouth,NA
10/08/2023,07:01:00,Planet Fitness Falmouth MA - Falmouth,NA
10/10/2023,05:00:00,Planet Fitness Falmouth MA - Falmouth,NA
10/11/2023,05:01:00,Planet Fitness Falmouth MA - Falmouth,NA
10/12/2023,05:01:00,Planet Fitness Falmouth MA - Falmouth,NA
10/13/2023,18:42:00,Planet Fitness Falmouth MA - Falmouth,NA
10/14/2023,08:34:00,Planet Fitness Falmouth MA - Falmouth,NA
10/15/2023,07:09:00,Planet Fitness Falmouth MA - Falmouth,NA
10/17/2023,05:01:00,Planet Fitness Falmouth MA - Falmouth,NA
