"","Year","Site","Area","Status","Line","Bag_Position","Count","height_m"
"1",2013,"MR","south","open","10","3",188,6
"2",2013,"MR","south","open","10","4",163,8
"3",2013,"MR","south","open","10","2",139,4
"4",2013,"MR","south","open","10","1",73,2
"5",2013,"MR","south","open","10","5",108,10
"6",2013,"MR","south","open","9","3",156,6
"7",2013,"MR","south","open","9","2",140,4
"8",2013,"MR","south","open","7","4",146,8
"9",2013,"MR","south","open","7","2",190,4
"10",2013,"MR","south","open","7","3",99,6
"11",2013,"MR","south","open","7","1",60,2
"12",2013,"MR","south","open","9","4",113,8
"13",2013,"MR","south","open","7","5",18,10
"14",2013,"MR","south","open","9","1",108,2
"15",2013,"MR","south","open","9","5",3,10
"16",2013,"MR","south","open","8","5",92,10
"17",2013,"MR","south","open","8","4",116,8
"18",2013,"MR","south","open","8","3",84,6
"19",2013,"MR","south","open","8","2",111,4
"20",2013,"MR","south","open","8","1",103,2
"21",2013,"MR","north","open","1","1",81,2
"22",2013,"MR","north","open","1","5",27,10
"23",2013,"MR","north","open","1","2",99,4
"24",2013,"MR","north","open","1","3",114,6
"25",2013,"MR","north","open","1","4",88,8
"26",2013,"MR","closure","closed","5","3",42,6
"27",2013,"MR","closure","closed","5","2",83,4
"28",2013,"MR","closure","closed","5","4",13,8
"29",2013,"MR","closure","closed","5","1",12,2
"30",2014,"MR","closure","closed","11","1",761,2
"31",2014,"MR","closure","closed","11","2",614,4
"32",2014,"MR","closure","closed","11","3",576,6
"33",2014,"MR","closure","closed","11","4",501,8
"34",2014,"MR","closure","closed","11","5",225,10
"35",2014,"MR","south","open","13","1",1113,2
"36",2014,"MR","south","open","13","2",1136,4
"37",2014,"MR","south","open","13","3",1199,6
"38",2014,"MR","south","open","13","4",640,8
"39",2014,"MR","south","open","13","5",611,10
"40",2014,"MR","south","open","4","1",1556,2
"41",2014,"MR","south","open","4","2",1428,4
"42",2014,"MR","south","open","4","3",1240,6
"43",2014,"MR","south","open","4","4",834,8
"44",2014,"MR","south","open","4","5",677,10
"45",2014,"MR","south","open","12","1",444,2
"46",2014,"MR","south","open","12","2",257,4
"47",2014,"MR","south","open","12","3",577,6
"48",2014,"MR","south","open","12","4",415,8
"49",2014,"MR","south","open","12","5",405,10
"50",2014,"MR","north","open","1","1",580,2
"51",2014,"MR","north","open","1","2",70,4
"52",2014,"MR","north","open","1","3",0,6
"53",2014,"MR","north","open","1","4",112,8
"54",2014,"MR","north","open","1","5",150,10
"55",2015,"MR","closure","closed","7","3",622,6
"56",2015,"MR","closure","closed","7","4",1015,8
"57",2015,"MR","closure","closed","7","5",1087,10
"58",2015,"MR","closure","closed","7","1",559,2
"59",2015,"MR","closure","closed","7","2",396,4
"60",2015,"MR","closure","closed","11","1",378,2
"61",2015,"MR","closure","closed","11","5",301,10
"62",2015,"MR","closure","closed","11","3",242,6
"63",2015,"MR","closure","closed","11","2",421,4
"64",2015,"MR","closure","closed","2","3",410,6
"65",2015,"MR","closure","closed","2","2",372,4
"66",2015,"MR","closure","closed","2","1",432,2
"67",2015,"MR","closure","closed","2","4",116,8
"68",2015,"MR","closure","closed","2","5",128,10
"69",2015,"MR","north","open","1","1",37,2
"70",2015,"MR","north","open","1","2",105,4
"71",2015,"MR","north","open","1","3",113,6
"72",2015,"MR","north","open","1","5",75,10
"73",2016,"MR","closure","closed","11","1",676,2
"74",2016,"MR","closure","closed","11","2",442,4
"75",2016,"MR","closure","closed","11","3",321,6
"76",2016,"MR","closure","closed","11","4",415,8
"77",2016,"MR","north","open","1","1",201,2
"78",2016,"MR","closure","closed","7","1",481,2
"79",2016,"MR","north","open","1","3",38,6
"80",2016,"MR","north","open","1","2",56,4
"81",2016,"MR","closure","closed","11","5",0,10
"82",2016,"MR","closure","closed","7","3",472,6
"83",2016,"MR","closure","closed","7","2",476,4
"84",2016,"MR","closure","closed","7","4",183,8
"85",2016,"MR","closure","closed","7","5",141,10
"86",2016,"MR","north","open","1","4",56,8
"87",2016,"MR","north","open","1","5",52,10
"88",2016,"MR","north","open","5","1",192,2
"89",2016,"MR","north","open","5","2",141,4
"90",2016,"MR","north","open","5","3",133,6
"91",2016,"MR","north","open","5","4",30,8
"92",2016,"MR","north","open","5","5",19,10
"93",2016,"MR","south","open","4","2",460,4
"94",2016,"MR","south","open","4","3",135,6
"95",2016,"MR","south","open","4","4",160,8
"96",2016,"MR","south","open","4","5",27,10
"97",2017,"MR","south","open","3","1",43,2
"98",2017,"MR","south","open","3","2",54,4
"99",2017,"MR","south","open","3","3",36,6
"100",2017,"MR","south","open","3","4",24,8
"101",2017,"MR","south","open","3","5",55,10
"102",2017,"MR","closure","closed","11","3",49,6
"103",2017,"MR","closure","closed","11","4",164,8
"104",2017,"MR","closure","closed","11","5",114,10
"105",2017,"MR","closure","closed","7","2",155,4
"106",2017,"MR","closure","closed","7","5",123,10
"107",2017,"MR","north","open","10","2",69,4
"108",2017,"MR","north","open","10","3",59,6
"109",2017,"MR","north","open","10","4",27,8
"110",2018,"MR","south","open","3","1",43,2
"111",2018,"MR","south","open","3","2",54,4
"112",2018,"MR","south","open","3","3",36,6
"113",2018,"MR","south","open","3","4",24,8
"114",2018,"MR","south","open","3","5",55,10
"115",2018,"MR","closure","closed","11","3",49,6
"116",2018,"MR","closure","closed","11","4",164,8
"117",2018,"MR","closure","closed","11","5",114,10
"118",2018,"MR","closure","closed","7","2",155,4
"119",2018,"MR","closure","closed","7","5",123,10
"120",2018,"MR","north","open","10","2",69,4
"121",2018,"MR","north","open","10","3",59,6
"122",2018,"MR","north","open","10","4",27,8
